random_complex_units_required,targeted_complex_units_required,topology
128.0,64.0,scale_free
128.0,64.0,scale_free
128.0,128.0,scale_free
128.0,48.0,scale_free
128.0,48.0,scale_free
128.0,96.0,scale_free
128.0,48.0,scale_free
128.0,64.0,scale_free
128.0,64.0,scale_free
128.0,128.0,scale_free
128.0,48.0,scale_free
192.0,96.0,scale_free
192.0,128.0,scale_free
192.0,96.0,scale_free
192.0,128.0,scale_free
192.0,192.0,scale_free
192.0,192.0,scale_free
192.0,64.0,scale_free
192.0,64.0,scale_free
192.0,40.0,scale_free
192.0,64.0,scale_free
192.0,48.0,scale_free
192.0,64.0,scale_free
192.0,192.0,scale_free
192.0,48.0,scale_free
192.0,64.0,scale_free
192.0,96.0,scale_free
192.0,64.0,scale_free
192.0,96.0,scale_free
192.0,96.0,scale_free
192.0,192.0,scale_free
192.0,96.0,scale_free
192.0,192.0,scale_free
192.0,128.0,scale_free
192.0,192.0,scale_free
192.0,192.0,scale_free
192.0,192.0,scale_free
192.0,192.0,scale_free
192.0,128.0,scale_free
96.0,32.0,scale_free
96.0,32.0,scale_free
96.0,32.0,scale_free
96.0,32.0,scale_free
96.0,32.0,scale_free
96.0,96.0,scale_free
96.0,32.0,scale_free
128.0,48.0,scale_free
128.0,48.0,scale_free
128.0,48.0,scale_free
128.0,40.0,scale_free
128.0,64.0,scale_free
128.0,128.0,scale_free
128.0,40.0,scale_free
192.0,96.0,scale_free
192.0,64.0,scale_free
192.0,64.0,scale_free
192.0,64.0,scale_free
192.0,96.0,scale_free
192.0,192.0,scale_free
192.0,64.0,scale_free
64.0,32.0,scale_free
64.0,32.0,scale_free
64.0,32.0,scale_free
64.0,32.0,scale_free
64.0,24.0,scale_free
64.0,64.0,scale_free
64.0,32.0,scale_free
96.0,40.0,scale_free
96.0,40.0,scale_free
96.0,48.0,scale_free
96.0,48.0,scale_free
96.0,40.0,scale_free
96.0,96.0,scale_free
96.0,40.0,scale_free
128.0,96.0,scale_free
128.0,64.0,scale_free
128.0,64.0,scale_free
128.0,64.0,scale_free
128.0,64.0,scale_free
128.0,128.0,scale_free
128.0,40.0,scale_free
4.0,40.0,small_world
4.0,32.0,small_world
4.0,40.0,small_world
4.0,32.0,small_world
4.0,32.0,small_world
4.0,4.0,small_world
4.0,48.0,small_world
40.0,192.0,small_world
40.0,32.0,small_world
40.0,96.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,48.0,small_world
64.0,40.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,96.0,small_world
1.0,1.0,small_world
1.0,1.0,small_world
1.0,1.0,small_world
1.0,1.0,small_world
1.0,1.0,small_world
1.0,1.0,small_world
1.0,1.0,small_world
48.0,192.0,small_world
48.0,48.0,small_world
48.0,96.0,small_world
48.0,48.0,small_world
48.0,40.0,small_world
48.0,48.0,small_world
48.0,64.0,small_world
96.0,48.0,small_world
96.0,128.0,small_world
96.0,64.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
32.0,32.0,small_world
32.0,24.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,40.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,40.0,small_world
40.0,48.0,small_world
40.0,40.0,small_world
40.0,48.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,64.0,small_world
48.0,48.0,small_world
48.0,96.0,small_world
48.0,48.0,small_world
48.0,48.0,small_world
48.0,48.0,small_world
48.0,96.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
48.0,48.0,small_world
48.0,48.0,small_world
48.0,64.0,small_world
48.0,48.0,small_world
48.0,48.0,small_world
48.0,48.0,small_world
48.0,48.0,small_world
96.0,96.0,small_world
96.0,64.0,small_world
96.0,96.0,small_world
96.0,48.0,small_world
96.0,64.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
40.0,40.0,small_world
40.0,32.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,48.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,48.0,small_world
48.0,64.0,small_world
48.0,48.0,small_world
48.0,64.0,small_world
48.0,64.0,small_world
48.0,48.0,small_world
48.0,48.0,small_world
48.0,64.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
32.0,32.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
40.0,40.0,small_world
48.0,48.0,small_world
48.0,40.0,small_world
48.0,48.0,small_world
48.0,48.0,small_world
48.0,48.0,small_world
48.0,48.0,small_world
48.0,48.0,small_world
64.0,64.0,small_world
64.0,48.0,small_world
64.0,64.0,small_world
64.0,48.0,small_world
64.0,48.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,128.0,small_world
64.0,64.0,small_world
64.0,192.0,small_world
64.0,96.0,small_world
64.0,96.0,small_world
64.0,64.0,small_world
64.0,96.0,small_world
96.0,192.0,small_world
96.0,96.0,small_world
96.0,64.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
64.0,192.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,96.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,96.0,small_world
128.0,192.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,192.0,small_world
128.0,128.0,small_world
128.0,192.0,small_world
96.0,64.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,64.0,small_world
96.0,96.0,small_world
96.0,64.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,96.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,48.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,48.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
128.0,128.0,small_world
128.0,96.0,small_world
128.0,128.0,small_world
128.0,96.0,small_world
128.0,96.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
64.0,1.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,48.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
128.0,128.0,small_world
128.0,96.0,small_world
128.0,96.0,small_world
128.0,96.0,small_world
128.0,96.0,small_world
128.0,128.0,small_world
128.0,96.0,small_world
192.0,192.0,small_world
192.0,128.0,small_world
192.0,128.0,small_world
192.0,192.0,small_world
192.0,128.0,small_world
192.0,192.0,small_world
192.0,128.0,small_world
4.0,2.0,small_world
4.0,4.0,small_world
4.0,2.0,small_world
4.0,2.0,small_world
4.0,4.0,small_world
192.0,192.0,small_world
192.0,96.0,small_world
192.0,192.0,small_world
192.0,128.0,small_world
192.0,192.0,small_world
192.0,192.0,small_world
192.0,96.0,small_world
192.0,96.0,small_world
192.0,192.0,small_world
192.0,128.0,small_world
192.0,192.0,small_world
192.0,96.0,small_world
64.0,96.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
128.0,128.0,small_world
128.0,96.0,small_world
128.0,128.0,small_world
128.0,96.0,small_world
128.0,96.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,192.0,small_world
192.0,192.0,small_world
192.0,192.0,small_world
192.0,192.0,small_world
192.0,192.0,small_world
192.0,192.0,small_world
192.0,192.0,small_world
64.0,96.0,small_world
64.0,48.0,small_world
64.0,48.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
64.0,64.0,small_world
128.0,192.0,small_world
128.0,96.0,small_world
128.0,96.0,small_world
128.0,96.0,small_world
128.0,96.0,small_world
128.0,128.0,small_world
128.0,96.0,small_world
128.0,192.0,small_world
128.0,192.0,small_world
128.0,128.0,small_world
128.0,192.0,small_world
128.0,128.0,small_world
128.0,128.0,small_world
128.0,192.0,small_world
8.0,8.0,small_world
4.0,4.0,small_world
4.0,4.0,small_world
4.0,2.0,small_world
4.0,4.0,small_world
96.0,192.0,small_world
96.0,64.0,small_world
96.0,64.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,64.0,small_world
192.0,128.0,small_world
192.0,128.0,small_world
192.0,192.0,small_world
192.0,128.0,small_world
192.0,192.0,small_world
192.0,96.0,small_world
96.0,128.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,96.0,small_world
96.0,64.0,small_world
128.0,192.0,small_world
128.0,128.0,small_world
128.0,96.0,small_world
128.0,128.0,small_world
192.0,192.0,small_world
192.0,192.0,small_world
192.0,192.0,small_world
